anio,trimestre,periodo,hogares,hogares_unicos,hogares_sin_respuesta_ingresos,hogares_ingreso_cero,itf_mediana
2007,1,2007_t1,2862,2862,0,24,1600
2007,2,2007_t2,2752,2752,0,15,1600
2007,4,2007_t4,2653,2653,0,38,1816
2008,1,2008_t1,2771,2771,0,24,2000
2008,2,2008_t2,2802,2802,0,27,2067.5
2008,3,2008_t3,2752,2752,0,27,2360
2008,4,2008_t4,2752,2752,0,17,2382
2010,1,2010_t1,2544,2544,0,27,3200
2010,2,2010_t2,2600,2600,0,25,3000
2010,3,2010_t3,2703,2703,0,19,3642
2010,4,2010_t4,2694,2694,0,18,3700
2011,1,2011_t1,2653,2653,0,18,4000
2011,2,2011_t2,2734,2734,0,25,4200
2011,3,2011_t3,2646,2646,0,20,4900
2011,4,2011_t4,2684,2684,0,21,4600
2018,1,2018_t1,3429,3429,1146,22,13900
2018,2,2018_t2,3472,3472,1097,32,14200
2018,3,2018_t3,3417,3417,1092,34,15400
2018,4,2018_t4,3468,3468,1079,23,16090
2019,1,2019_t1,3469,3469,1105,25,18300
2019,2,2019_t2,3407,3407,1007,28,20000
2019,3,2019_t3,3387,3387,991,29,22300
2019,4,2019_t4,3355,3355,1074,30,23000
2021,1,2021_t1,1474,1474,500,16,33000
2021,2,2021_t2,1407,1407,471,15,36035
2021,3,2021_t3,1733,1733,628,17,40500
2021,4,2021_t4,2373,2373,880,15,40000
2022,1,2022_t1,2392,2392,916,37,40000
2022,2,2022_t2,2731,2731,1042,22,50000
2022,3,2022_t3,2742,2742,1022,14,58250
2022,4,2022_t4,2640,2640,1009,22,70000
