anio,trimestre,periodo,personas,hogares_unicos,jefes_hogar,ocupados,desocupados,inactivos
2007,1,2007_t1,9066,2862,2862,3967,479,3240
2007,2,2007_t2,8498,2752,2752,3829,364,3006
2007,4,2007_t4,8515,2653,2653,3737,311,3150
2008,1,2008_t1,8965,2771,2771,3917,390,3356
2008,2,2008_t2,8820,2802,2802,3884,357,3315
2008,3,2008_t3,8678,2752,2752,3756,352,3269
2008,4,2008_t4,8731,2752,2752,3873,333,3173
2010,1,2010_t1,7948,2544,2544,3459,314,2956
2010,2,2010_t2,8098,2600,2600,3557,321,3055
2010,3,2010_t3,8360,2703,2703,3759,337,3078
2010,4,2010_t4,8145,2694,2694,3638,315,3069
2011,1,2011_t1,8026,2653,2653,3549,297,3018
2011,2,2011_t2,8250,2734,2734,3699,317,2992
2011,3,2011_t3,8079,2646,2646,3663,302,2897
2011,4,2011_t4,8027,2684,2684,3568,292,3006
2018,1,2018_t1,10456,3429,3429,4514,538,3852
2018,2,2018_t2,10587,3472,3472,4528,575,3890
2018,3,2018_t3,10324,3417,3417,4452,528,3828
2018,4,2018_t4,10438,3468,3468,4481,506,3918
2019,1,2019_t1,10352,3469,3469,4424,590,3894
2019,2,2019_t2,10033,3407,3407,4383,592,3675
2019,3,2019_t3,10097,3387,3387,4347,541,3738
2019,4,2019_t4,9957,3355,3355,4376,496,3710
2021,1,2021_t1,4082,1474,1474,1737,213,1682
2021,2,2021_t2,3914,1407,1407,1672,194,1609
2021,3,2021_t3,4826,1733,1733,2208,188,1867
2021,4,2021_t4,6600,2373,2373,3000,230,2578
2022,1,2022_t1,6706,2392,2392,2981,232,2695
2022,2,2022_t2,7463,2731,2731,3468,287,2850
2022,3,2022_t3,7344,2742,2742,3397,289,2852
2022,4,2022_t4,7259,2640,2640,3315,242,2791
