anio,trimestre,periodo,hogares_hogar,hogares_individual,personas,jefes_hogar,diferencia_hogares,diferencia_jefes
2007,1,2007_t1,2862,2862,9066,2862,0,0
2007,2,2007_t2,2752,2752,8498,2752,0,0
2007,4,2007_t4,2653,2653,8515,2653,0,0
2008,1,2008_t1,2771,2771,8965,2771,0,0
2008,2,2008_t2,2802,2802,8820,2802,0,0
2008,3,2008_t3,2752,2752,8678,2752,0,0
2008,4,2008_t4,2752,2752,8731,2752,0,0
2010,1,2010_t1,2544,2544,7948,2544,0,0
2010,2,2010_t2,2600,2600,8098,2600,0,0
2010,3,2010_t3,2703,2703,8360,2703,0,0
2010,4,2010_t4,2694,2694,8145,2694,0,0
2011,1,2011_t1,2653,2653,8026,2653,0,0
2011,2,2011_t2,2734,2734,8250,2734,0,0
2011,3,2011_t3,2646,2646,8079,2646,0,0
2011,4,2011_t4,2684,2684,8027,2684,0,0
2018,1,2018_t1,3429,3429,10456,3429,0,0
2018,2,2018_t2,3472,3472,10587,3472,0,0
2018,3,2018_t3,3417,3417,10324,3417,0,0
2018,4,2018_t4,3468,3468,10438,3468,0,0
2019,1,2019_t1,3469,3469,10352,3469,0,0
2019,2,2019_t2,3407,3407,10033,3407,0,0
2019,3,2019_t3,3387,3387,10097,3387,0,0
2019,4,2019_t4,3355,3355,9957,3355,0,0
2021,1,2021_t1,1474,1474,4082,1474,0,0
2021,2,2021_t2,1407,1407,3914,1407,0,0
2021,3,2021_t3,1733,1733,4826,1733,0,0
2021,4,2021_t4,2373,2373,6600,2373,0,0
2022,1,2022_t1,2392,2392,6706,2392,0,0
2022,2,2022_t2,2731,2731,7463,2731,0,0
2022,3,2022_t3,2742,2742,7344,2742,0,0
2022,4,2022_t4,2640,2640,7259,2640,0,0
